"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 23 07:27:11 MSK 2020","Mon Nov 23 07:27:17 MSK 2020","6678","","academy.Tests.GridSortTest","","academy.Tests.GridSortTest","testColumnSort","[4] Benchmark price",""
"passed","Mon Nov 23 07:34:29 MSK 2020","Mon Nov 23 07:34:39 MSK 2020","9390","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[17] Price imp. (amount)",""
"passed","Mon Nov 23 07:33:52 MSK 2020","Mon Nov 23 07:34:01 MSK 2020","9335","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[13] Sequence number",""
"passed","Mon Nov 23 07:26:52 MSK 2020","Mon Nov 23 07:26:59 MSK 2020","7037","","academy.Tests.GridSortTest","","academy.Tests.GridSortTest","testColumnSort","[2] Start time",""
"passed","Mon Nov 23 07:30:45 MSK 2020","Mon Nov 23 07:30:50 MSK 2020","5115","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[4] Price",""
"passed","Mon Nov 23 07:34:10 MSK 2020","Mon Nov 23 07:34:20 MSK 2020","9364","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[15] Benchmark price",""
"passed","Mon Nov 23 07:30:55 MSK 2020","Mon Nov 23 07:31:00 MSK 2020","5229","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[6] Execution price volatility",""
"passed","Mon Nov 23 07:31:44 MSK 2020","Mon Nov 23 07:31:49 MSK 2020","4936","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[16] Price imp. (ticks)",""
"passed","Mon Nov 23 07:28:46 MSK 2020","Mon Nov 23 07:28:51 MSK 2020","4798","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[16] Price imp. (ticks)",""
"passed","Mon Nov 23 07:34:20 MSK 2020","Mon Nov 23 07:34:29 MSK 2020","9317","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[16] Price imp. (ticks)",""
"passed","Mon Nov 23 07:28:11 MSK 2020","Mon Nov 23 07:28:16 MSK 2020","5054","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[9] Shortfall",""
"passed","Mon Nov 23 07:30:40 MSK 2020","Mon Nov 23 07:30:45 MSK 2020","4787","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[3] Num of executions",""
"passed","Mon Nov 23 07:33:42 MSK 2020","Mon Nov 23 07:33:52 MSK 2020","9307","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[12] Currency code",""
"passed","Mon Nov 23 07:31:59 MSK 2020","Mon Nov 23 07:32:08 MSK 2020","9344","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[1] Avg fill price",""
"passed","Mon Nov 23 07:28:41 MSK 2020","Mon Nov 23 07:28:46 MSK 2020","4804","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[15] Benchmark price",""
"passed","Mon Nov 23 07:32:18 MSK 2020","Mon Nov 23 07:32:27 MSK 2020","9356","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[3] Num of executions",""
"passed","Mon Nov 23 07:28:31 MSK 2020","Mon Nov 23 07:28:36 MSK 2020","5130","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[13] Sequence number",""
"passed","Mon Nov 23 07:31:20 MSK 2020","Mon Nov 23 07:31:25 MSK 2020","4839","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[11] Tick size",""
"passed","Mon Nov 23 07:31:10 MSK 2020","Mon Nov 23 07:31:15 MSK 2020","4837","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[9] Shortfall",""
"passed","Mon Nov 23 07:27:20 MSK 2020","Mon Nov 23 07:27:20 MSK 2020","205","","academy.Tests.HistogramTest","","academy.Tests.HistogramTest","testToolTipPresent","4 bar",""
"passed","Mon Nov 23 07:28:51 MSK 2020","Mon Nov 23 07:28:56 MSK 2020","4775","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[17] Price imp. (amount)",""
"passed","Mon Nov 23 07:29:26 MSK 2020","Mon Nov 23 07:29:30 MSK 2020","4855","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[6] Execution price volatility",""
"passed","Mon Nov 23 07:26:11 MSK 2020","Mon Nov 23 07:26:21 MSK 2020","10054","","academy.Tests.GridFilterTest","","academy.Tests.GridFilterTest","testColumnDisappearFiltersButton","testColumnDisappearFiltersButton()",""
"passed","Mon Nov 23 07:29:16 MSK 2020","Mon Nov 23 07:29:21 MSK 2020","4864","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[4] Price",""
"passed","Mon Nov 23 07:29:41 MSK 2020","Mon Nov 23 07:29:45 MSK 2020","4809","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[9] Shortfall",""
"passed","Mon Nov 23 07:27:42 MSK 2020","Mon Nov 23 07:27:47 MSK 2020","4797","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[3] Num of executions",""
"passed","Mon Nov 23 07:31:25 MSK 2020","Mon Nov 23 07:31:30 MSK 2020","4853","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[12] Currency code",""
"passed","Mon Nov 23 07:30:35 MSK 2020","Mon Nov 23 07:30:40 MSK 2020","5179","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[2] Exec size",""
"passed","Mon Nov 23 07:26:32 MSK 2020","Mon Nov 23 07:26:42 MSK 2020","9993","","academy.Tests.GridFilterTest","","academy.Tests.GridFilterTest","testColumnDisappearColumnsButton","testColumnDisappearColumnsButton()",""
"passed","Mon Nov 23 07:27:26 MSK 2020","Mon Nov 23 07:27:26 MSK 2020","53","","academy.Tests.LoginTest","","academy.Tests.LoginTest","testSettingsButton","testSettingsButton()",""
"passed","Mon Nov 23 07:29:00 MSK 2020","Mon Nov 23 07:29:06 MSK 2020","5140","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[1] Avg fill price",""
"passed","Mon Nov 23 07:30:50 MSK 2020","Mon Nov 23 07:30:55 MSK 2020","4844","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[5] Size",""
"passed","Mon Nov 23 07:27:19 MSK 2020","Mon Nov 23 07:27:19 MSK 2020","236","","academy.Tests.HistogramTest","","academy.Tests.HistogramTest","testToolTipPresent","1 bar",""
"passed","Mon Nov 23 07:29:06 MSK 2020","Mon Nov 23 07:29:11 MSK 2020","4904","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[2] Exec size",""
